6
"Building 4", "Floor 20 Lift"
"Lift 0", -0.982, 1.517, 0.000, 0.000, 0.713, 0.700
"Lift 1", 1.897, 1.748, 0.000, 0.000, 0.740, 0.673
"Lift 2", 4.841, 1.993, 0.000, 0.000, 0.709, 0.705
"Lift 3", 4.993, -1.707, 0.000, 0.000, -0.666, 0.746
"Lift 4", 2.147, -1.868, 0.000, 0.000, -0.666, 0.746
"Lift 5", -0.683, -1.970, 0.000, 0.000, -0.675, 0.738
"Lift Ground", 0.516, 1.747, 0.000, 0.000, -0.696, 0.718
